Top pages,Clicks,Impressions,CTR,Position
https://www.foundationrisk.org/learn/dallas-tx-75287-soil-analysis,1,13,7.69%,8.92
https://www.foundationrisk.org/services/foundation-repair/lewisville-tx-75067,0,24,0%,38.04
https://foundationrisk.org/learn/frisco-tx-75035-soil-analysis,0,15,0%,6.13
https://foundationrisk.org/learn/san-antonio-tx-78209-soil-analysis,0,11,0%,6.18
https://www.foundationrisk.org/services/foundation-repair/norman-ok-73072,0,6,0%,9.83
https://www.foundationrisk.org/learn/frisco-tx-75034-soil-analysis,0,5,0%,7.4
https://foundationrisk.org/services/foundation-repair/dallas-tx-75248,0,4,0%,15.75
https://foundationrisk.org/,0,3,0%,4
https://foundationrisk.org/services/foundation-repair/richardson-tx-75080,0,2,0%,3
https://foundationrisk.org/services/foundation-repair/dallas-tx-75287,0,2,0%,4